Timestamp,Defrost case 1,Always off,Ambient Dry Bulb Ta,Ambient Dry Bulb Tb,Ambient Wet Bulb,Ceiling Temp,Front Wall Temp,Right Wall Temp,Left Wall Temp,Rear Wall Temp,Discharge Air 2 in LE,Discharge Air 12 in LE,Discharge Air Center,Discharge Air 12in RE,Discharge Air 2 in RE,Secondary Air 2 in LE,Secondary Air 12 in LE,Secondary Air Center,Secondary Air 12in RE,Secondary Air 2 in RE,Return Air 2 in LE,Return Air 12 in LE,Return Air Center,Return Air 12in RE,Return Air 2 in RE,Left TXV Inlet,Into Distrubutor ,TXV Bulb,Coil Inlet 1,Coil Inlet 2,Coil Inlet 3,Coil Outlet 1,Coil Outlet 2,Coil Outlet 3,Air in evap 6 in LE,Air in evap 6 in RE,Air off evap 6 in LE,Air off evap 6 in RE,PS Top shelf LE Rear,PS Top shelf LE Front,PS Top shelf RE Rear ,PS Top shelf RE Front,PS Second shelf LE Rear ,PS Second shelf LE Front,PS Second shelf RE Rear ,PS Second shelf RE Front,PS Third shelf LE Rear ,PS Third shelf LE Front,PS Third shelf RE Rear ,PS Third shelf RE Front,PS Fourth shelf LE Rear ,PS Fourth shelf LE Front,PS Fourth shelf RE Rear ,PS Fourth shelf RE Front,PS BC LE Rear ,PS BC LE Front,PS BC RE Rear ,PS BC RE Front,Water in HeatX,Water out  HeatX,Ref Temp in HeatX,Ref Temp out HeatX,Discharge line from Comp,Suction line into Comp,Suction Pressure,Discharge Pressure,Case Volts,Case Amps,Case Watts,Compressor Volts,Compressor Amps,Compressor Watts,Run Time,S.H.,Evap,Liqcond,AVG Prod Temp,Total Case Watts,Total Compressor Watts
06/22/2026 06:15:52,0.000000,0.000000,75.589456,75.131765,66.083628,75.754490,78.720840,73.169865,75.925667,74.949996,35.545955,31.171645,31.581999,31.380344,37.347111,37.560624,35.318514,35.651758,35.323483,37.059515,34.933786,35.965198,33.867193,33.698884,33.181033,71.786579,33.034715,39.496092,24.152692,24.061807,23.910646,31.790043,32.575142,32.670316,35.284789,35.238689,29.659994,29.882485,33.793170,36.805916,32.670499,37.148143,35.408378,37.744987,31.253877,36.328014,33.247252,36.386445,31.229265,36.029823,31.275710,33.657650,30.427187,33.006802,32.823194,34.393835,31.337984,33.095042,82.104966,87.396001,125.778302,84.300643,132.837543,56.946221,47.545995,155.744984,118.200000,2.196000,216.100000,116.690000,1.661000,145.800000,22781.591973,13.583996,25.912096,92.197742,33.903159,1264.278231,821.218205
06/22/2026 06:16:52,0.000000,0.000000,75.543946,75.142825,65.951791,75.760999,78.665081,73.189092,75.896659,74.980940,35.375962,31.028787,31.344263,31.213620,36.949912,37.509269,35.144204,35.528038,35.114872,36.933194,35.181372,35.132072,33.696136,33.622850,32.976916,73.771464,32.820496,39.958118,24.214981,24.208713,24.017877,31.640572,32.317353,32.543333,35.164058,35.099774,29.306193,29.648345,33.795342,36.817370,32.666528,37.138888,35.409770,37.736211,31.265970,36.345857,33.234058,36.395877,31.218992,36.031570,31.282010,33.660822,30.405409,33.010496,32.790428,34.378885,31.333504,33.089684,84.197771,89.601128,126.843495,86.434007,133.975847,57.028472,47.674954,157.900770,118.130000,2.216000,218.900000,116.720000,1.680000,147.800000,22841.590566,13.926684,26.031434,93.140829,33.900384,1267.914423,823.683147
06/22/2026 06:17:52,0.000000,0.000000,75.528392,75.127686,65.816930,75.731141,78.683693,73.164224,73.386269,74.965472,35.893763,31.815483,32.217520,32.241036,37.884790,37.803049,35.564710,35.954985,35.653223,37.253250,36.550783,36.830361,35.197571,34.227923,33.625127,65.635900,33.340883,37.913754,23.697709,23.653816,23.392181,32.279513,32.830588,33.289303,35.818563,35.974912,30.564815,30.826978,33.822861,36.836821,32.718068,37.153436,35.430482,37.742722,31.304616,36.363677,33.263945,36.437597,31.260182,36.061878,31.313082,33.688685,30.364281,33.039058,32.804326,34.412723,31.361325,33.119660,76.641356,82.461426,125.437084,79.000693,131.795017,56.763369,47.067936,145.604540,118.160000,2.138000,208.600000,117.010000,1.608000,138.600000,22901.589447,12.445679,25.468075,87.640462,33.924971,1271.398831,825.995715
06/22/2026 06:18:52,0.000000,0.000000,75.491944,75.076438,65.930364,75.699262,78.662438,73.078907,72.230424,74.956891,35.576576,31.336555,31.706343,31.556451,37.236694,37.448026,35.197018,35.621589,35.327962,37.024622,35.701961,35.588782,34.175418,33.786493,33.240099,72.457896,33.339695,39.694153,24.462111,24.383784,24.206412,32.118505,32.834216,33.260046,35.482952,35.460352,29.640427,30.005032,33.847730,36.838151,32.718824,37.160379,35.457560,37.749395,31.333177,36.369821,33.283000,36.432676,31.284523,36.052414,31.346098,33.699389,30.413359,33.045673,32.814944,34.414889,31.391458,33.132384,82.727185,88.109711,126.057135,85.206426,133.036935,56.781965,48.114073,159.214472,118.440000,2.207000,218.600000,117.000000,1.678000,147.900000,22961.588395,13.257741,26.436412,93.711307,33.939292,1274.986492,828.411869
06/22/2026 06:19:52,0.000000,0.000000,75.422466,75.111253,65.869490,75.692485,78.682183,73.138152,71.846572,74.953692,35.481626,31.143498,31.511086,31.357179,37.145043,37.475760,35.175823,35.464369,35.186437,36.924978,35.361082,35.739745,33.845883,33.845883,32.965057,73.564722,33.095744,39.609538,24.387840,24.302346,24.209902,31.865948,32.593551,32.918599,35.291485,35.256024,29.491033,29.782164,33.831361,36.861215,32.727633,37.178426,35.459621,37.776638,31.344160,36.389998,33.280592,36.454621,31.312044,36.085964,31.339705,33.739649,30.364171,33.065933,32.796083,34.450201,31.369966,33.151835,83.257444,88.786361,127.167546,84.905873,134.327130,57.129494,47.393343,152.780294,118.530000,2.187000,215.800000,117.030000,1.658000,145.000000,23021.586575,13.838946,25.770592,90.886400,33.948991,1278.633659,830.885821
06/22/2026 06:20:52,0.000000,0.000000,75.431063,75.103382,65.724456,75.689963,78.647284,73.088208,71.741953,74.946196,35.222608,30.774335,31.109897,31.057072,37.093073,37.408339,34.960309,35.302567,34.982309,36.789429,34.753027,35.305699,33.647137,33.656020,32.607084,64.242569,32.807474,37.167617,22.677388,22.609692,22.328595,31.512295,32.323169,32.681680,35.012689,35.006482,29.182019,29.466407,33.830427,36.840821,32.740180,37.164813,35.474766,37.748435,31.372308,36.389052,33.300528,36.455889,31.325887,36.094852,31.362952,33.702865,30.419967,33.052538,32.807139,34.443485,31.390493,33.153200,75.618302,81.257036,125.117194,78.266224,131.781032,56.809442,46.362937,142.841186,118.540000,2.115000,206.900000,117.030000,1.597000,136.600000,23081.585483,12.359073,24.808544,86.362032,33.953530,1282.071512,833.151335
06/22/2026 06:21:52,0.000000,0.000000,75.399352,75.089397,65.816650,75.662848,78.643817,73.044922,71.702270,74.951019,35.231085,30.502517,30.919228,30.769553,37.243787,37.165077,34.850648,35.112710,34.802758,36.628426,34.765945,35.148252,33.387622,33.503578,32.517115,71.606671,32.620857,38.715346,23.695592,23.635127,23.498006,31.310065,32.104739,32.293853,34.890065,34.837733,28.900760,29.313669,33.845313,36.837512,32.773548,37.141836,35.495581,37.749748,31.402593,36.374010,33.316977,36.448815,31.349576,36.071456,31.360711,33.713955,30.445361,33.057880,32.808036,34.428406,31.419973,33.158606,81.739856,86.990626,125.941749,84.077742,132.905220,56.646585,46.985880,156.168049,118.410000,2.194000,216.600000,116.830000,1.664000,146.000000,23141.582834,13.323743,25.391603,92.383506,33.959995,1285.630328,835.540619
06/22/2026 06:22:52,0.000000,0.000000,75.360405,75.081269,65.921585,75.655602,78.606732,73.079990,71.657799,74.978531,34.939219,30.465835,30.844227,30.719915,36.891132,37.194538,34.611975,34.994291,34.671333,36.516774,34.354100,35.046112,33.476755,33.387454,32.268400,72.877540,32.271910,39.503477,23.526532,23.485769,23.300117,31.063335,31.761061,31.903167,34.809290,34.747639,28.907839,29.116668,33.867212,36.883218,32.806913,37.182536,35.509183,37.758451,31.436319,36.403166,33.369349,36.466460,31.381302,36.101658,31.396220,33.761785,30.442997,33.096935,32.822205,34.461182,31.424965,33.188030,83.929207,89.017602,126.995530,86.235346,134.133785,56.844721,47.087649,160.660402,118.060000,2.217000,219.100000,116.670000,1.683000,148.500000,23201.581086,14.017041,25.486436,94.335565,33.988004,1289.251305,837.989519
06/22/2026 06:23:52,0.000000,0.000000,75.378012,75.053689,65.874063,75.637191,78.616566,73.073377,71.630036,74.942428,34.903651,30.406014,30.725588,30.611013,36.738349,37.061272,34.529366,34.868261,34.520405,36.426835,34.345576,34.895193,33.182892,33.396631,32.365299,68.575637,32.116475,37.729731,22.849335,22.775823,22.589335,30.864185,31.607855,31.785163,34.605811,34.592059,28.812047,29.179955,33.873821,36.884494,32.798194,37.186247,35.495731,37.736640,31.424130,36.418190,33.339554,36.473074,31.383580,36.105693,31.390714,33.754520,30.433923,33.097354,32.812842,34.430541,31.404075,33.176525,78.452421,83.949337,126.755642,80.023975,133.510053,56.888594,45.875264,146.092505,118.220000,2.141000,209.300000,116.780000,1.615000,139.300000,23261.580134,13.380760,24.348971,87.864530,33.980992,1292.810638,840.373537
06/22/2026 06:24:52,0.000000,0.000000,75.327629,75.037923,65.644599,75.638886,78.537914,73.025966,71.677768,74.957871,34.596903,30.117342,30.521648,30.386955,36.876078,36.953932,34.439053,34.738067,34.398573,36.290242,34.519706,34.664695,32.992352,33.280799,32.021535,73.739794,32.087399,39.129196,23.464424,23.413355,23.303544,30.810504,31.549736,31.770260,34.529866,34.489491,28.432714,28.837185,33.894508,36.876791,32.840119,37.189472,35.501774,37.787297,31.456938,36.430976,33.347946,36.502677,31.402680,36.129104,31.408820,33.761465,30.496609,33.114638,32.813237,34.481518,31.424066,33.202688,83.873389,89.142470,127.237999,86.114629,134.574019,56.689410,46.805746,157.469774,118.660000,2.210000,218.800000,117.280000,1.681000,147.900000,23321.577803,13.905738,25.223458,92.952976,34.003166,1296.416525,842.808831
