componentId,type,circuit_label,port,label,roleKeyPrimary,roleKeyFallback,csv_column,sensor_number,current_value
compressor_a91fd4,Compressor,,inlet,Compressor Inlet,Compressor.compressor_a91fd4.inlet,compressor_a91fd4.inlet,Suction line into Comp,59,49.649711338888885
compressor_a91fd4,Compressor,,outlet,Compressor Outlet,Compressor.compressor_a91fd4.outlet,compressor_a91fd4.outlet,Discharge line from comp,121,131.30724765069445
compressor_a91fd4,Compressor,,RPM,Compressor RPM,Compressor.compressor_a91fd4.RPM,compressor_a91fd4.RPM,Compressor RPM,130,3366.361604411111
junction_fddd85,Junction,,inlet_1,Junction Inlet 1,Junction.junction_fddd85.inlet_1,junction_fddd85.inlet_1,Liquid into main distributor,127,73.06446710694445
junction_fddd85,Junction,,outlet_1,Junction Outlet 1,Junction.junction_fddd85.outlet_1,junction_fddd85.outlet_1,,,
junction_fddd85,Junction,,outlet_2,Junction Outlet 2,Junction.junction_fddd85.outlet_2,junction_fddd85.outlet_2,Total Case Watts,158,0.0
junction_fddd85,Junction,,outlet_3,Junction Outlet 3,Junction.junction_fddd85.outlet_3,junction_fddd85.outlet_3,,,
txv_18cc9b,TXV,Left,inlet,TXV Left Inlet,TXV.txv_18cc9b.inlet,txv_18cc9b.inlet,Left TXV Inlet,32,75.63858097013889
txv_18cc9b,TXV,Left,outlet,TXV Left Outlet,TXV.txv_18cc9b.outlet,txv_18cc9b.outlet,,,
txv_18cc9b,TXV,Left,bulb,TXV Left Bulb,TXV.txv_18cc9b.bulb,txv_18cc9b.bulb,,,
txv_ef0693,TXV,Center,inlet,TXV Center Inlet,TXV.txv_ef0693.inlet,txv_ef0693.inlet,CTR TXV Inlet,44,73.06664881666667
txv_ef0693,TXV,Center,outlet,TXV Center Outlet,TXV.txv_ef0693.outlet,txv_ef0693.outlet,,,
txv_ef0693,TXV,Center,bulb,TXV Center Bulb,TXV.txv_ef0693.bulb,txv_ef0693.bulb,,,
txv_e5856c,TXV,Right,inlet,TXV Right Inlet,TXV.txv_e5856c.inlet,txv_e5856c.inlet,Right TXV Inlet ,49,71.4467799576389
txv_e5856c,TXV,Right,outlet,TXV Right Outlet,TXV.txv_e5856c.outlet,txv_e5856c.outlet,,,
