Date,Time,Run Time,Defrost case 1,Always off,Ambient Dry Bulb Ta,Ambient Dry Bulb Tb,Ambient Wet Bulb,Discharge Air 2 in LE,Discharge Air 12 in LE,Discharge Air 24 in LE,Discharge Air 42 in LE,Discharge Air 54 in LE,Discharge Air Center,Discharge Air 54 in RE,Discharge Air 42 in RE,Discharge Air 24 in RE,Discharge Air 12in RE,Discharge Air 2 in RE,Seconday Air 24 in LE,Seconday Air Center,Seconday Air 24 in RE,Return Air 2 in LE,Return Air 12 in LE,Return Air 24 in LE,Return Air 42 in LE,Return Air 54 in LE,Return Air Center,Return Air 54 in RE,Return Air 42 in RE,Return Air 24 in RE,Return Air 12in RE,Return Air 2 in RE,Left TXV Inlet,Into Left Distrubutor ,Left TXV Bulb,Left Coil Inlet 1,Left Coil Inlet 2,Left Coil Inlet 3,Left Coil Inlet 4,Left Coil Inlet 5,Left Coil Inlet 6,Left Coil Outlet 1,Left Coil Out 2,Left Coil Out 3,CTR TXV Inlet,Into CTR Distrubutor,CTR TXV Bulb,CTR Coil Inlet ,CTR Coil Outlet ,Right TXV Inlet ,Into Right Distributor ,Right TXV Bulb ,Right Coil Inlet ,Right Coil Outlet ,Air in left evap 6 in LE,Air in left evap 6 in RE,Air in ctr evap 6 in LE,Air in ctr evap 6 in RE,Air in right evap 6 in LE,Suction line into Comp,Air in right evap 6 in RE,Air off left evap 6 in LE,Air off left evap 6 in RE,Air off ctr evap 6 in LE,Air off ctr evap 6 in RE,Air off right evap 6 in LE,Air off right evap 6 in RE,PS Top shelf LE Rear,PS Top shelf LE Front,PS Top shelf 48 LE Rear,PS Top shelf 48 LE Front,PS Top shelf 48 RE Rear,PS Top shelf 48 RE Front,PS Top shelf RE Rear ,PS Top shelf RE Front,PS Second shelf LE Rear ,PS Second shelf LE Front,PS Second shelf 48 LE Rear,PS Second shelf 48 LE Front,PS Second shelf 48 RE Rear,PS Second shelf 48 RE Front,PS Second shelf RE Rear ,PS Second shelf RE Front,PS Third shelf LE Rear ,PS Third shelf LE Front,PS Third shelf 48 LE Rear,PS Third shelf 48 LE Front,PS Third shelf 48 RE Rear,PS Third shelf 48 RE Front,PS Third shelf RE Rear ,PS Third shelf RE Front,PS Fourth shelf LE Rear ,PS Fourth shelf LE Front,PS Fourth shelf 48 LE Rear,PS Fourth shelf 48 LE Front,PS Fourth shelf 48 RE Rear,PS Fourth shelf 48 RE Front,PS Fourth shelf RE Rear ,PS Fourth shelf RE Front,PS Fifth shelf LE Rear ,PS Fifth shelf LE Front,PS Fifth shelf 48 LE Rear,PS Fifth shelf 48 LE Front,PS Fifth shelf 48 RE Rear,PS Fifth shelf 48 RE Front,PS Fifth shelf RE Rear ,PS Fifth shelf RE Front,PS BC LE Rear ,PS BC LE Front,PS BC 48 LE Rear,PS BC 48 LE Front,PS BC 48 RE Rear,PS BC 48 RE Front,PS BC RE Rear ,PS BC RE Front,Water in HeatX,Water out HeatX,Ref Temp in HeatX,Ref Temp out HeatX,Case inlet after filter drier,Inlet of filter drier,Discharge line from comp,,Rear Wall,Ceiling,Front Wall,Left Wall,Right Wall,Liquid into main distributor,Suction Presure ,Liquid Pressure ,Compressor RPM,Total Water Flow Meter,L1 Volts,L1 Amps,L1 Watts,L2 Volts,L2 Amps,L2 Watts,L3 Volts,L3 Amps,L3 Watts,Total Volts,Total Amps,Total Watts,120V Volts,120V Amps,120V Watts,Left S.H.,CTR S.H.,Right S.H.,Evap,Liqcond,AVG Prod Temp,AVG Air In,AVG Air Off,Total L1 Watts,Total L2 Watts,Total L3 Watts,Total Case Watts
4/13/2025,6:02:32,0,1,0,74.280322,73.491932,64.846029,44.557072,38.244626,38.656993,42.347081,34.872523,34.083209,41.343394,33.397944,33.577444,34.42764,40.89765,47.489977,38.759619,38.540614,45.618676,52.582192,64.875577,59.124766,49.43527,51.538101,47.082965,46.664895,51.397835,53.840941,53.504258,55.964006,46.363699,45.558408,32.256726,32.59205,32.849965,33.061571,32.600176,32.838081,46.414879,44.452339,44.747217,55.889995,33.503242,42.677462,32.304421,40.002484,52.04594,35.46135,40.788085,32.250822,40.271475,48.470794,45.629388,44.439998,45.574248,43.276802,55.692539,44.856837,34.390738,35.295708,33.414565,32.764743,33.10661,32.743285,35.779476,42.908508,33.041313,41.604448,30.818013,37.9938,32.417549,39.53977,36.265087,42.5482,35.848302,39.656078,30.794405,37.376986,31.888924,38.819444,35.011674,41.407497,32.176744,40.346146,31.187892,37.586513,32.311785,39.298663,34.160431,38.673023,33.993959,37.686297,30.759767,36.242989,32.242277,36.621683,36.571677,41.485645,34.94139,41.018761,32.394172,37.993186,37.092376,41.19178,38.00954,42.527411,42.092725,41.328048,34.857972,41.493396,38.46662,43.126803,78.884607,79.008945,112.686667,74.572476,75.824984,60.284885,116.544471,75.923316,77.176839,71.341332,70.892133,71.15992,75.23502,56.839496,55.279267,56.057732,0,0,206.970001,0.01374,-2.604,207.619995,0.01592,0.578,207.460007,0.00107,0.05,207.630005,0.102,-10,119.879997,1.973,120.099998,12.795445,9.914499,8.025122,32.762963,33.420665,37.116649,45.374678,33.619275,-0.864934,0.037855,0.618322,0
4/13/2025,6:03:32,0,1,0,74.89612,73.445444,64.800344,43.648464,38.60118,38.928208,41.691191,35.136721,34.893124,41.094966,33.753476,34.101345,34.707498,39.859424,47.229133,38.735191,38.700131,45.151783,53.431901,61.953143,54.53793,50.717767,51.409779,50.581623,46.981315,50.047183,54.460713,52.313342,50.6393,43.840239,44.963504,32.228759,32.666023,32.886569,32.981261,32.615677,32.997172,45.925905,44.186451,44.488438,50.38103,33.760272,42.990843,32.33157,39.840758,45.516927,33.302867,40.70086,32.245336,40.001693,47.330393,46.371227,44.471999,46.034513,43.133662,60.642456,44.672379,34.434191,35.279886,33.039627,32.851136,33.060963,32.844656,35.746245,42.898842,33.033653,41.581477,30.809442,37.995531,32.412174,39.540918,36.23879,42.521669,35.804192,39.654058,30.772754,37.399172,31.856041,38.82324,34.971147,41.386208,32.153791,40.36527,31.173373,37.591898,32.290066,39.289409,34.138689,38.687155,33.981092,37.683891,30.740851,36.231282,32.239855,36.58858,36.567338,41.439545,34.94139,40.987514,32.38572,38.002491,37.083117,41.189416,38.02572,42.516705,42.0884,41.3114,34.872234,41.517382,38.443939,43.164389,76.999436,77.466342,99.30856,74.898739,75.94336,64.700922,105.916683,75.886974,77.159932,71.456236,70.889069,71.149644,75.244641,52.375738,55.027182,56.069403,0,0,207.190002,0.01373,-2.607,207.720001,0.01564,0.546,207.429993,0,0.044,207.660004,0.098,-9,119.93,1.977,119.5,12.414691,10.44203,8.152047,32.548813,33.430484,37.10703,45.335695,33.585076,-0.908321,0.047246,0.619117,0
4/13/2025,6:04:32,0,1,0,74.525887,73.471598,64.725439,42.51005,38.681371,39.008367,41.097471,35.023358,35.308927,40.615975,33.853772,34.497864,34.469023,38.88678,47.382743,38.724931,38.695211,43.826997,53.925808,62.772321,57.452151,49.791158,52.562479,49.497342,47.061527,50.706561,53.277455,52.52452,48.162382,37.998718,44.391098,32.258781,32.649209,32.785282,32.906661,32.637835,32.98598,45.352143,43.840437,44.077666,47.531866,35.377572,43.156965,32.320916,39.440486,43.216853,33.240484,40.625401,32.2522,39.715404,46.80639,46.951206,44.511461,46.009168,42.517414,64.032378,44.199476,34.693691,36.222808,33.099861,32.932278,33.177195,32.935425,35.765367,42.8774,33.043519,41.578484,30.799724,37.983149,32.390363,39.525181,36.249552,42.547721,35.819012,39.629572,30.788556,37.373722,31.83307,38.816756,34.982812,41.373586,32.150879,40.339484,31.161546,37.573526,32.290704,39.301758,34.118713,38.643899,33.976652,37.665068,30.748609,36.197372,32.25294,36.571226,36.55618,41.451328,34.948419,40.996251,32.372308,37.998827,37.103773,41.183338,38.019618,42.486915,42.114985,41.317774,34.877329,41.538895,38.437399,43.148669,77.313832,77.429061,90.785444,75.123661,76.095628,68.161893,98.233121,75.908855,77.131642,71.238124,70.824993,71.148814,75.221856,50.44437,54.989365,56.448048,34.428727,0,206.919998,0.01372,-2.6,207.589996,0.01529,0.53,207.380005,0.00106,0.047,207.309998,0.099,-10,119.75,1.95,119.900002,11.874461,10.640328,8.108764,32.516637,33.748398,37.10254,45.165852,33.843543,-0.951677,0.056393,0.619911,0
4/13/2025,6:05:32,0,1,0,74.151146,73.4532,64.682904,41.019548,38.989012,39.301769,40.784684,35.176471,35.400575,40.236674,34.110294,34.633707,34.44781,38.169486,47.465063,38.718546,38.626699,46.050045,57.308376,62.920249,51.188885,49.909218,50.55652,49.566385,47.358209,49.188851,55.014595,53.046485,46.613601,36.902003,43.858456,32.323323,32.60667,32.623571,32.861913,32.568319,32.837357,44.64649,43.20656,43.400096,45.830407,33.397901,43.118686,32.400512,39.426778,42.093759,33.163951,40.471182,32.275245,39.379785,47.000726,47.189675,43.966993,45.474021,42.276118,66.089807,44.325812,35.326971,36.836264,33.402548,33.059918,33.342565,33.230114,35.756064,42.886181,33.008204,41.576088,30.830276,37.966363,32.373015,39.550777,36.244263,42.660629,35.823345,39.670475,30.790242,37.33873,31.808503,38.829136,34.970863,41.380208,32.169027,40.352602,31.166351,37.554897,32.256379,39.260526,34.113171,38.667079,33.949353,37.688081,30.723239,36.204931,32.228056,36.563853,36.562526,41.396492,34.937045,40.973959,32.27414,37.968278,37.074075,41.202958,38.050799,42.541206,42.089039,41.337556,34.886627,41.538939,38.427945,43.189748,77.960047,77.993693,85.709469,75.375325,76.042935,70.335535,92.712053,75.865935,76.472096,71.256488,70.900115,71.151776,75.177084,49.234108,54.785385,54.349291,19.433036,0,206.970001,0.01376,-2.606,207.589996,0.01535,0.534,207.279999,0.00104,0.044,207.529999,0.098,-9,119.860001,1.947,119.900002,11.515598,10.775828,8.128324,32.342858,31.970048,37.100255,45.038891,34.19973,-0.995074,0.065402,0.620664,0
4/13/2025,6:06:32,0,1,0,74.956882,73.44072,64.706639,40.820929,40.07355,40.151976,41.959084,35.345646,35.568977,39.919879,34.381481,34.640589,34.587798,37.81012,47.955592,38.706112,38.56623,43.180631,54.693819,64.548464,58.031959,50.11401,50.154442,48.890152,47.479086,51.608936,51.482949,50.502635,46.251951,36.830222,43.583759,32.287169,32.745318,32.78756,32.859589,32.67283,32.861808,44.467273,43.050986,43.149753,44.791498,35.218275,43.139676,32.323814,39.078159,41.774433,33.043408,40.466247,32.280058,39.140208,47.043021,47.404794,44.047935,45.098227,42.307664,67.467833,43.960504,36.304022,40.114105,33.561787,33.241446,33.603541,33.542194,35.71238,42.905234,33.001725,41.585071,30.814422,37.993076,32.381675,39.550001,36.225774,42.525886,35.788155,39.638979,30.745477,37.408018,31.831545,38.832331,34.951015,41.383833,32.138125,40.33699,31.163479,37.609582,32.29274,39.303339,34.123412,38.657399,33.956488,37.663246,30.705769,36.210157,32.223074,36.597663,36.531723,41.436257,34.907853,41.004843,32.353856,38.00362,37.073192,41.197042,37.988759,42.514214,42.049423,41.336617,34.870159,41.540519,38.426424,43.176385,78.493868,78.456107,82.759982,75.621385,76.159196,71.713343,89.099558,75.87937,77.088294,71.442653,70.881026,71.118689,75.250152,48.652299,55.465528,53.445795,4.069404,0,207.149994,0.01373,-2.608,207.600006,0.01536,0.527,207.380005,0,0.041,207.589996,0.092,-9,119.879997,1.933,119.599998,10.662934,10.218851,7.545422,32.920825,31.192026,37.097228,44.977024,35.061183,-1.038471,0.074394,0.621421,0
4/13/2025,6:07:32,0,1,0,74.842549,73.473032,64.720474,42.381991,42.493141,42.768533,45.824722,35.752345,35.730136,39.825011,34.851612,34.863709,34.896527,37.781413,48.488951,38.744387,38.633656,45.011831,58.131415,63.855373,55.490613,49.796269,51.108104,48.609296,47.304211,50.53026,52.915231,50.461096,42.956837,37.041893,43.628297,32.552087,32.912283,32.702417,32.994525,32.711389,33.143506,44.974452,43.437526,43.78102,44.350494,35.312484,43.853321,32.41778,39.973316,41.431939,33.1659,40.821834,32.302987,39.334957,48.036455,47.841853,44.379434,45.005923,42.09347,68.631602,44.048713,40.044065,47.992817,34.091751,33.588635,33.897292,33.985576,35.715651,42.88257,32.959238,41.561948,30.827089,37.96532,32.354169,39.533117,36.205721,42.654895,35.798649,39.641047,30.772971,37.361434,31.786831,38.831319,34.944234,41.362148,32.147777,40.336414,31.160223,37.540909,32.267659,39.290197,34.115068,38.644247,33.949918,37.68768,30.729074,36.179293,32.205404,36.582987,36.548468,41.434426,34.91696,40.97295,32.272675,37.973137,37.066114,41.221726,38.045788,42.519969,42.092078,41.314642,34.891024,41.578069,38.418963,43.230416,78.969987,78.914145,80.953117,75.451707,76.161043,72.237032,86.27839,75.855754,76.11481,71.471511,70.88273,71.161128,75.179213,49.053305,55.679668,56.041199,52.391717,0,206.899994,0.01369,-2.599,207.539993,0.01536,0.53,207.419998,0,0.047,207.580002,0.087,-9,119.779999,1.936,120,10.526368,10.751392,7.719905,33.101929,33.406753,37.093596,45.234308,37.266689,-1.081847,0.0833,0.622193,0
4/13/2025,6:08:32,0,1,0,74.465065,73.454711,64.625421,45.159116,45.866815,46.071963,48.61028,36.319178,36.10326,39.926576,35.401112,35.37578,35.437383,38.080071,49.467282,38.990134,38.839083,46.936645,55.693869,64.264894,57.720718,51.672723,53.335312,51.179776,46.963529,51.357613,53.891382,50.701636,36.410628,38.289607,44.115645,33.503016,34.297597,32.944184,33.299305,33.219214,33.928166,45.612013,44.23288,44.565522,44.160115,36.402855,44.456415,32.462688,40.482991,41.288946,33.568874,41.007115,32.309075,39.37495,48.140588,48.397629,45.256363,45.966602,42.027955,70.022536,44.450265,45.985266,49.786281,35.051752,34.360662,34.409474,34.743941,35.728469,42.902738,32.964691,41.584495,30.856175,37.993438,32.354902,39.559316,36.214319,42.654201,35.77675,39.652758,30.786147,37.365012,31.7842,38.846508,34.947967,41.399285,32.163603,40.37234,31.16092,37.559956,32.249013,39.280673,34.09616,38.638246,33.935891,37.69683,30.719137,36.210597,32.213282,36.571041,36.537407,41.43003,34.933703,40.973723,32.284135,37.985033,37.088195,41.216425,38.048418,42.526098,42.102451,41.328104,34.901047,41.591496,38.418059,43.249706,79.435693,79.336869,79.8654,74.177294,76.208511,71.231458,84.131391,75.850888,76.136943,71.467893,70.898581,71.176974,75.236368,49.225998,55.47234,53.883441,48.758183,0,207.139999,0.01372,-2.6,207.740005,0.01538,0.535,207.440002,0.00111,0.048,207.649994,0.101,-10,119.889999,1.94,119.900002,11.189052,11.529822,8.080522,32.926593,31.56985,37.101106,45.706567,39.056229,-1.125199,0.092227,0.622992,0
4/13/2025,6:09:32,0,1,0,74.373335,73.436932,64.616862,47.302033,47.914928,48.512973,50.014524,37.523927,36.938808,40.262733,36.255102,36.283586,36.589434,38.506846,50.435247,39.638346,39.222009,47.971841,55.638083,64.123038,61.266746,53.597081,51.21618,49.92045,47.048402,50.555624,52.877199,50.405113,41.624754,39.729761,44.772205,35.270562,37.642674,33.962055,34.111665,35.109151,35.736248,46.411916,45.091726,45.296632,44.434882,35.220084,44.833148,33.692172,40.646847,41.08659,34.628468,40.886931,32.269417,39.328584,49.14808,49.113893,45.506793,45.709844,42.138249,70.243425,44.213144,48.531359,51.15771,36.722302,35.406233,35.782853,36.145365,35.720628,42.875648,32.939084,41.571916,30.859472,37.985259,32.363571,39.528238,36.194181,42.467303,35.764488,39.619394,30.763114,37.393092,31.808486,38.815845,34.921589,41.351561,32.1366,40.326672,31.15616,37.595985,32.283502,39.290539,34.115855,38.6106,33.948486,37.658929,30.712112,36.200962,32.228961,36.604556,36.501441,41.434752,34.897407,40.998877,32.351829,37.992539,37.056348,41.225498,37.981104,42.546577,42.080454,41.357117,34.842485,41.567155,38.417891,43.20916,79.884629,79.715844,79.344833,74.217439,76.177151,71.926423,82.942818,75.858075,77.102424,71.237554,70.859814,71.158587,75.303368,50.284281,57.785996,55.094911,165.897895,0,207.190002,0.01371,-2.604,207.720001,0.01551,0.538,207.509995,0,0.05,207.259995,0.098,-9,119.889999,1.928,119.699997,9.910477,9.97142,6.025203,34.861728,32.606407,37.08903,45.971667,40.624304,-1.16854,0.101062,0.6238,0
4/13/2025,6:10:32,0,1,0,74.410593,73.4755,64.538662,48.724064,49.370304,50.219704,51.365274,40.099824,38.79368,41.332546,38.213578,38.524649,39.055998,39.892911,51.470756,40.83123,40.16545,47.628881,57.232587,66.666497,62.286399,52.037846,52.685952,48.59164,47.769407,52.494667,52.880777,50.553557,45.174918,42.621332,45.304947,39.578787,41.954202,36.392245,36.463949,39.109504,40.022596,47.627038,46.45115,46.664454,44.239937,39.038876,45.237444,35.906789,42.101279,41.467697,37.605001,41.256223,32.329134,40.043265,50.292424,49.915779,46.036296,46.521206,42.645334,70.043401,44.6965,49.777034,52.588424,41.146444,38.353132,38.637006,39.356221,35.760568,42.895476,32.930105,41.577107,30.900384,37.99615,32.370535,39.541919,36.191094,42.559126,35.76627,39.685531,30.78006,37.385688,31.802362,38.828214,34.93047,41.383248,32.186005,40.365884,31.178005,37.601843,32.275606,39.279743,34.128073,38.608182,33.949606,37.691174,30.699171,36.208915,32.196018,36.615255,36.502405,41.459462,34.899305,40.9968,32.27187,37.993602,37.033972,41.242429,38.018866,42.561284,42.087348,41.377215,34.842346,41.575104,38.440621,43.242289,80.361396,80.156263,79.179102,74.516168,76.47114,72.627352,82.139591,75.912776,75.805172,71.309523,70.949411,71.169234,75.318608,51.483898,64.481143,63.164781,112,0,207.039993,0.01366,-2.594,207.570007,0.01531,0.518,207.449997,0,0.049,207.419998,0.098,-10,119.809998,1.937,119.800003,5.091552,5.024049,1.042828,40.213395,39.188578,37.100265,46.68459,43.30971,-1.211856,0.109796,0.624616,0
4/13/2025,6:11:32,0,1,0,74.750959,73.45366,64.676955,49.682207,50.354229,51.27649,52.107572,43.298872,42.03929,43.422667,41.403019,41.972176,42.358914,42.328597,52.349489,42.827101,41.959728,49.06474,58.210179,67.181239,61.469525,53.029346,51.299381,51.504905,48.552609,51.105925,54.906115,52.103318,47.022016,45.516987,46.24755,43.396821,45.452797,40.223442,39.668618,43.21355,43.74489,48.875376,47.971334,48.154576,43.365559,42.563871,45.992478,40.517891,43.695089,42.776045,37.314756,42.891877,32.600642,42.476893,51.040183,50.76066,46.955984,47.018893,43.771315,70.003213,45.37631,50.580066,53.155174,44.367054,44.1435,42.757404,43.374217,35.729405,42.879517,32.872769,41.550294,30.909312,37.974809,32.312562,39.544568,36.170731,42.634679,35.743995,39.636473,30.750965,37.369075,31.751319,38.834396,34.925153,41.375773,32.156955,40.351664,31.132428,37.579488,32.22863,39.282887,34.175625,38.622805,33.945667,37.685837,30.679972,36.171689,32.192868,36.593511,36.489952,41.425972,34.900523,40.982604,32.209464,38.014303,37.041871,41.234984,37.995046,42.552533,42.06981,41.364941,34.847712,41.580026,38.430501,43.240568,80.776056,80.535359,79.056815,74.888476,76.543745,73.230401,81.69692,75.831134,76.035775,71.365743,70.907572,71.135468,75.2318,47.102038,69.091216,67.620991,0,0,207.259995,0.01372,-2.604,207.830002,0.01537,0.528,207.619995,0.00112,0.049,207.729996,0.095,-9,119.900002,1.927,119.699997,2.542153,2.287081,-0.81352,43.705397,42.607611,37.086388,47.487224,46.396236,-1.255213,0.118512,0.625397,0
