Date,Time,Run Time,Defrost case 1,Always off,Ambient dry bulbTa,Ambient dry bulbTb,Ambient wet bulb,Blank,Discharge air 12 in LE,Discharge air center,Discharge air 12in RE,Discharge air 2 in RE,Sec discharge air 2 in LE,Sec discharge air 12 in LE,Sec discharge air center,Sec discharge air 12 in RE,Sec discharge air 2 in RE,Return air 2 in LE,Return air 12in LE,Return air center,Return air 12 in RE,Return air 2 in RE,TXV 1 inlet,Into distributor 1,Left TXV Bulb,TXV 2 inlet,Into distributor 2,Right TXV Bulb,Common coil outlet,Air in left evap 6 in LE,Air in left evap 6 in RE,Air off left evap 6 in LE,Air off left evap 6 in RE,Air in right evap 6 in LE,Air in right evap 6 in RE,Air off Right evap 6 in LE,Air off Right evap 6 in RE,PS Top shelf LE Rear,PS Top shelf LE Front,PS Top shelf CTR Rear,PS Top shelf CTR Front,PS Top shelf RE Rear,PS Top shelf RE Front,PS Second shelf LE Rear,PS Second shelf LE Front,PS Second shelf CTR Rear,PS Second shelf CTR Front,PS Second shelf RE Rear,PS Second shelf RE Front,PS Third shelf LE Rear,PS Third shelf LE Front,PS Third shelf CTR Rear,PS Third shelf CTR Front,PS Third shelf RE Rear,PS Third shelf RE Front,PS Fourth shelf LE Rear,PS Fourth shelf LE Front,PS Fourth shelf CTR Rear,PS Fourth shelf CTR Front,PS Fourth shelf RE Rear,PS Fourth shelf RE Front,PS Fifth shelf LE Rear,PS Fifth shelf LE Front,PS Fifth shelf CTR Rear,PS Fifth shelf CTR Front,PS Fifth shelf RE Rear,PS Fifth shelf RE Front,PS BC LE Rear ,PS BC LE Front,PS BC CTR Rear,PS BC CTR Front,PS BC RE Rear ,PS BC RE Front,Water in HeatX,Water out HeatX,Ref temp out HeatX,Case inlet after filter drier,inlet of filter drier,Discharge line from comp,Suction line into Comp,Discharge air 2 in LE,Ceiling,Rear Wall,Front Wall,Right Wall,Left Wall,Suction Presure ,Discharge Pressure ,Compressor RPM,Case Volts,Case Amps,Case Watts,Compressor Volts,Compressor Amps,Compressor Watts,Compressor Hertz,Left S.H.,Right S.H.,Evap,Liqcond,AVG Prod Temp,Total Case Watts,Total Compressor Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/28/25,06:00:55,0,1,0,74.71965,72.827094,63.867075,86.276577,30.387051,37.896081,31.932863,39.098276,43.944412,40.768198,42.068928,40.055229,41.207965,44.860469,48.495683,48.897631,43.47902,42.778893,94.426153,34.674373,31.476012,91.321315,32.42303,36.606064,37.038316,45.544779,46.28581,27.513965,27.765908,43.793323,44.043719,28.650911,28.593152,30.60208,37.62009,30.843722,37.181626,29.795732,37.182143,29.531382,36.78307,29.017475,35.514073,35.705223,28.972608,30.557304,34.754829,27.73426,36.897207,28.974652,35.885771,28.8419,35.625032,27.298469,33.539468,30.277833,36.034975,36.821956,37.673131,33.008203,32.626506,36.327432,41.014068,34.265886,39.98212,35.276141,40.58825,38.131771,41.353563,107.857636,107.788554,113.052962,111.585461,105.244447,125.48076,48.13115,37.55658,72.558103,72.86355,71.803801,73.586276,71.959571,52.68666,97.240229,1100,206.410004,0.856,142.600006,206.949997,0.114,11,NaN,0.943683,6.073735,30.532329,62.399388,34.228888,629602.5975,6959.649773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/28/25,06:01:55,0,1,0,74.740021,72.84624,63.871873,86.259394,33.466079,38.562845,34.039685,40.069232,44.069734,41.165111,42.539443,40.423913,41.536539,44.253118,49.130997,50.762448,43.85443,42.868829,60.046614,33.457077,33.571691,58.85097,34.453176,38.30643,41.24315,46.067161,46.742169,31.866257,32.21356,43.970852,44.332968,31.986585,32.218217,30.601961,37.633231,30.828202,37.194085,29.761031,37.181506,29.520037,36.789279,29.004554,35.515861,35.697183,28.958713,30.554564,34.746276,27.692615,36.905627,28.940764,35.849465,28.829789,35.623638,27.299296,33.521129,30.306681,35.999819,36.989438,37.650422,33.011143,32.801245,36.303062,41.024168,34.252549,39.950619,35.254206,40.574385,38.137342,41.328317,115.085024,116.531215,97.564714,101.582602,89.666798,118.249055,61.020265,37.638879,72.531926,72.85289,71.791855,73.576314,71.972057,54.221652,54.458049,1100,206.029999,0.847,141.100006,206.990005,0.084,8,NaN,1.711093,6.445832,31.860598,32.063188,34.228672,629604.9665,6959.836163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/28/25,06:02:55,0,1,0,74.537049,72.84399,63.682965,86.278037,34.201318,38.405992,34.100076,39.783676,44.257571,41.51066,43.128498,40.619203,41.825652,43.460411,48.306524,49.394892,45.938614,42.570837,52.315853,33.421741,33.799298,51.33015,33.906664,39.208856,42.932693,45.699294,46.533295,31.97187,32.343199,44.763426,45.316953,32.03572,32.306062,30.606611,37.631654,30.825979,37.165789,29.78556,37.1633,29.501677,36.762299,29.001441,35.49903,35.695348,28.944374,30.545586,34.715587,27.684049,36.904751,28.939435,35.859662,28.835971,35.616928,27.296999,33.51838,30.299911,36.006689,37.142249,37.651533,33.012705,32.951087,36.309274,41.011419,34.25345,39.951193,35.258774,40.573198,38.141656,41.372206,111.388745,112.206023,90.348223,96.283908,85.175626,110.609404,70.069757,37.400356,72.466421,72.839876,71.801298,73.568318,71.950057,54.251203,54.519095,1100,206.080002,0.847,141.100006,207.119995,0.082,8,NaN,1.913346,7.322904,31.885952,32.115419,34.234327,629607.315,6959.968384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/28/25,06:03:55,0,1,0,74.434687,72.810032,63.619095,86.258921,34.968442,38.028901,34.203307,38.821137,44.260465,41.671887,43.474143,40.602111,41.934322,42.807337,49.660649,49.6232,44.302106,41.538194,49.387274,33.39561,34.485189,48.383895,34.588929,39.636697,43.092469,45.907085,46.782823,32.044416,32.423323,44.364296,44.73894,32.061135,32.375217,30.578283,37.622127,30.822411,37.171535,29.792691,37.183551,29.494005,36.76085,28.963401,35.494034,35.693991,28.944346,30.526392,34.698714,27.656798,36.901533,28.92013,35.853781,28.811406,35.614242,27.280895,33.496596,30.273148,36.016413,37.278867,37.646211,33.018465,33.059022,36.298123,41.010895,34.252479,39.992473,35.265278,40.586265,38.159328,41.349776,111.719824,112.601673,85.898593,92.36558,82.071707,104.286267,75.501798,36.20513,72.43863,72.823452,71.784006,73.562205,71.961313,54.358422,54.501209,1100,205.690002,0.847,141,206.720001,0.086,8,NaN,2.507317,7.658825,31.977872,32.100119,34.23579,629609.6632,6960.102271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/28/25,06:04:55,0,1,0,74.511728,72.800831,63.66074,86.309234,35.212595,37.985028,34.329854,37.93501,44.223522,41.750475,43.630645,40.654006,41.912719,41.678371,48.034595,48.653044,45.152747,41.861272,47.676565,33.250246,35.298897,47.091457,34.277177,39.798662,43.350951,44.90599,45.816934,32.148966,32.532155,44.309363,44.892984,32.124626,32.471272,30.559977,37.638889,30.789118,37.18847,29.797282,37.172695,29.472353,36.786415,28.952598,35.499256,35.690824,28.968815,30.519194,34.720151,27.646229,36.938594,28.936985,35.86786,28.78591,35.630569,27.25716,33.507403,30.276415,36.008684,37.349408,37.656175,32.976478,33.178527,36.298954,41.027566,34.232452,39.993944,35.288478,40.586414,38.178272,41.357207,111.424372,112.359556,83.16402,90.014644,79.812009,100.705673,78.61231,35.96319,72.506681,72.812664,71.780412,73.549138,71.960516,54.302237,54.542521,1100,206.039993,0.849,141,206.580002,0.085,8,NaN,3.36918,7.868945,31.929717,32.135454,34.242659,629612.0105,6960.2356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/28/25,06:05:55,0,1,0,74.357522,72.798787,63.554634,86.308305,35.339266,38.355922,34.540141,37.445318,44.146306,41.696328,43.677959,40.49612,41.864557,41.095262,49.835788,47.372813,45.058103,41.292995,46.59283,33.146896,36.216533,46.137095,33.401866,39.852361,42.978331,44.73738,45.870777,32.253123,32.772108,44.478779,44.981262,32.161366,32.521135,30.568044,37.643795,30.793501,37.172919,29.793641,37.195471,29.481052,36.777811,28.958643,35.494625,35.694669,28.938784,30.531977,34.717573,27.627116,36.896815,28.929647,35.865446,28.790228,35.620237,27.297208,33.515927,30.30057,36.009973,37.465193,37.640667,33.013334,33.31475,36.300079,41.017241,34.235799,39.991027,35.28909,40.590985,38.19944,41.375212,110.70508,111.585194,81.394125,88.395205,77.887558,97.96075,80.247206,35.864231,72.460744,72.783923,71.791918,73.559915,71.953084,54.349528,54.634187,1100,205.619995,0.852,141.300003,206.520004,0.079,8,NaN,4.246282,7.88211,31.970251,32.2138,34.251347,629614.3633,6960.368374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/28/25,06:06:55,0,1,0,74.337834,72.794733,63.518422,86.332978,36.012765,38.475658,34.776253,36.786936,44.265127,41.846286,43.149672,40.645805,41.776153,42.173532,52.214139,49.337643,45.643835,41.026804,45.586071,33.181974,36.467937,46.217527,33.209502,39.994307,43.240576,46.20337,46.841563,32.470858,33.041482,44.73243,45.272407,32.242311,32.675168,30.551258,37.62936,30.786775,37.209581,29.810098,37.199461,29.48463,36.809117,28.937571,35.5087,35.701455,28.972382,30.519193,34.721687,27.612058,36.935194,28.927757,35.859582,28.773417,35.62791,27.301369,33.521825,30.285091,36.036047,37.590672,37.654314,33.001278,33.271253,36.29039,41.029614,34.26603,40.002894,35.288616,40.587872,38.205346,41.366578,110.36324,111.247349,80.166245,87.265134,76.470439,95.854179,81.487415,35.971977,72.437981,72.7773,71.767478,73.527978,71.949914,54.387098,54.644588,1100,205.330002,0.853,141.699997,206.190002,0.08,8,NaN,4.465499,7.991869,32.002438,32.222684,34.257677,629616.7193,6960.501147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/28/25,06:07:55,0,1,0,74.28746,72.75062,63.508933,86.250461,36.521027,38.635934,35.210339,36.926711,44.407191,42.04416,43.312997,40.693713,41.896535,42.693614,54.457625,48.487943,46.753738,40.888658,45.512165,33.170779,36.965181,45.998774,32.914101,40.199812,43.265093,46.397006,47.315014,32.928385,33.638028,44.910954,45.413607,32.447209,32.95522,30.532919,37.630621,30.736935,37.193295,29.805714,37.167171,29.427538,36.81032,28.922725,35.505917,35.65685,28.965833,30.472534,34.707725,27.588629,36.930205,28.908003,35.859901,28.745006,35.613873,27.311336,33.514061,30.248771,36.018782,37.614102,37.661833,33.001728,33.348839,36.289329,41.0334,34.191289,40.014016,35.276754,40.588858,38.187319,41.384254,109.904283,110.794736,79.348693,86.517984,75.39727,93.910004,82.2049,36.414376,72.401207,72.755367,71.770112,73.531188,71.934477,54.486103,54.762694,1100,205.309998,0.854,141.600006,206,0.082,8,NaN,4.877986,8.112617,32.087195,32.323503,34.246288,629619.0771,6960.633922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/28/25,06:08:55,0,1,0,74.065218,72.755436,63.456851,86.272092,36.600634,38.388216,35.806946,37.496404,44.649217,42.140117,43.152944,40.932077,42.071253,41.423571,53.921102,47.296193,45.733297,41.05693,45.543382,33.378067,38.040403,45.23711,33.247919,40.362371,43.451292,46.307077,47.432612,33.813605,34.718177,43.85844,44.465174,33.102396,33.488373,30.536356,37.646404,30.71948,37.181724,29.796277,37.200424,29.410679,36.794817,28.889694,35.501467,35.656912,28.954298,30.444961,34.7023,27.544771,36.91603,28.915568,35.851909,28.703131,35.619252,27.316757,33.503741,30.236632,35.994728,37.663461,37.633851,32.949132,33.433062,36.261687,41.035408,34.177334,40.004163,35.292995,40.582975,38.222971,41.377095,109.459126,110.307073,78.75546,85.835872,74.53513,92.628742,82.360874,37.322316,72.360703,72.779962,71.783287,73.529091,71.903548,54.800762,55.08785,1100,205.229996,0.855,141.800003,206.309998,0.075,8,NaN,5.684432,8.0064,32.355971,32.600404,34.240901,629621.4349,6960.765585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/28/25,06:09:55,0,1,0,74.071247,72.719969,63.558871,86.245096,37.814558,38.80459,36.699332,38.157719,44.892687,42.537664,43.128708,41.227999,42.173415,41.812529,52.908167,48.77661,46.242782,40.403935,45.697325,34.703444,38.971234,44.499261,34.119361,40.537686,43.823575,46.529009,47.50581,35.459702,37.094399,44.403391,45.003148,33.916699,34.352418,30.549278,37.669382,30.757894,37.207015,29.832479,37.19565,29.444217,36.82123,28.918558,35.535899,35.67337,29.001202,30.464193,34.722543,27.559789,36.945978,28.942201,35.9067,28.725504,35.624634,27.370409,33.498248,30.240036,36.050728,37.759999,37.647752,32.976451,33.611671,36.284734,41.020471,34.203993,40.033465,35.279474,40.616659,38.232837,41.412876,109.03188,109.922537,78.239527,85.315149,73.851871,91.64065,82.231738,38.995646,72.304206,72.793692,71.76481,73.542622,71.884037,56.608662,56.942842,1100,205.080002,0.849,140.899994,205.929993,0.081,8,NaN,5.088365,6.654817,33.882869,34.161932,34.270487,629623.7889,6960.897803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
