Timestamp,Defrost case 1,Always off,Ambient Dry Bulb Ta,Ambient Dry Bulb Tb,Ambient Wet Bulb,Ceiling Temp,Front Wall Temp,Right Wall Temp,Left Wall Temp,Rear Wall Temp,Discharge Air 2 in LE,Discharge Air 12 in LE,Discharge Air 24 in LE,Discharge Air 36 in LE,Discharge Air Center,Discharge Air 36 in RE,Discharge Air 24 in RE,Discharge Air 12in RE,Discharge Air 2 in RE,Secondary Air 2 in LE,Secondary Air 12 in LE,Secondary Air 24 in LE,Secondary Air 36 in LE,Secondary Air Center,Secondary Air 36 in RE,Secondary Air 24 in RE,Secondary Air 12in RE,Secondary Air 2 in RE,Return Air 2 in LE,Return Air 12 in LE,Return Air 24 in LE,Return Air 36 in LE,Return Air Center,Return Air 36 in RE,Return Air 24 in RE,Return Air 12in RE,Return Air 2 in RE,Left TXV Inlet,Into Left Distrubutor ,Left TXV Bulb,Left Coil Inlet 1,Left Coil Inlet 2,Left Coil Inlet 3,Left Coil Inlet 4,Left Coil Inlet 5,Left Coil Inlet 6,Right TXV Inlet ,Into Right Distributor ,Right TXV Bulb ,Right Coil Inlet 1,Right Coil Inlet 2,Right Coil Inlet 3,Right Coil Inlet 4,Right Coil Inlet 5,Right Coil Inlet 6,Air in left evap 6 in LE,Air in left evap 6 in RE,Air off left evap 6 in LE,Air off left evap 6 in RE,Air in right evap 6 in LE,Air in right evap 6 in RE,Air off right evap 6 in LE,Air off right evap 6 in RE,PS Top shelf LE Rear,PS Top shelf LE Front,PS Top shelf CTR Rear,PS Top shelf CTR Front,PS Top shelf RE Rear ,PS Top shelf RE Front,PS Second shelf LE Rear ,PS Second shelf LE Front,PS Second shelf CTR Rear,PS Second shelf CTR Front,PS Second shelf RE Rear ,PS Second shelf RE Front,PS Third shelf LE Rear ,PS Third shelf LE Front,PS Third shelf CTR Rear,PS Third shelf CTR Front,PS Third shelf RE Rear ,PS Third shelf RE Front,PS Fourth shelf LE Rear ,PS Fourth shelf LE Front,PS Fourth shelf CTR Rear,PS Fourth shelf CTR Front,PS Fourth shelf RE Rear ,PS Fourth shelf RE Front,PS BC LE Rear ,PS BC LE Front,PS BC CTR Rear,PS BC CTR Front,PS BC RE Rear ,PS BC RE Front,Water in HeatX,Water out  HeatX,Ref Temp in HeatX,Ref Temp out HeatX,Discharge line from Comp,Suction line into Comp,Suction Pressure,Discharge Pressure,Case Volts,Case Amps,Case Watts,Compressor Volts,Compressor Amps,Compressor Watts,Run Time,Left S.H.,Right S.H.,Evap,Liqcond,Total Case Watts,Total Comp Watts,AVG Prod Temp
06/12/2026 11:05:37,0.000000,0.000000,74.913322,73.911114,63.984943,74.729553,75.742616,73.759278,75.003363,74.802276,35.328935,32.881662,32.383564,32.565551,33.361732,32.253708,32.306583,32.155744,33.961287,36.903953,35.271313,34.747705,34.479311,34.232131,34.340793,33.909324,33.726697,33.976254,36.743232,34.267896,33.915214,35.162810,35.746009,34.360881,34.380238,33.596179,34.338968,33.910713,32.499710,33.395486,31.920464,31.695497,32.053323,33.513540,33.130515,33.545129,32.771809,31.567846,33.054076,31.604786,31.533937,31.541511,32.662814,32.541001,32.543670,34.058484,34.031366,32.009718,32.116072,33.750284,33.735184,31.889886,32.059765,30.021546,37.545689,27.804843,33.613796,29.174380,36.623676,36.531290,31.856000,27.863525,31.646030,28.921421,36.489086,28.787572,34.492296,28.832800,32.062647,27.333570,33.823006,28.854574,34.484309,27.676314,31.014210,27.675144,34.139649,31.839082,34.884064,29.970847,32.187716,29.634315,33.359817,78.456357,78.707825,76.956869,72.230036,95.911042,89.278646,55.087290,77.193394,123.230000,1.087800,122.210000,122.570000,0.000000,0.010000,1814428.193627,0.795558,0.454148,32.599928,49.511084,Inf,Inf,31.638107
06/12/2026 11:06:37,0.000000,0.000000,75.011803,73.906095,64.014529,74.738322,75.720144,73.762135,75.000650,74.785197,35.480323,33.010845,32.497705,32.654092,33.479506,32.382323,32.428784,32.261950,34.144451,37.103692,35.451075,34.941107,34.608898,34.363089,34.498622,34.068570,33.929948,34.111083,36.891751,34.285519,34.044446,35.355665,35.590978,34.542395,34.172522,33.674342,34.724951,34.035552,32.598530,33.527514,31.996567,31.817937,32.078828,33.678917,33.262643,33.667193,32.897104,31.789171,33.176381,31.746978,31.657928,31.680648,32.810582,32.705465,32.665887,34.175586,34.118009,32.083230,32.170874,33.901776,33.856040,31.956326,32.123451,30.006435,37.500650,27.820068,33.595293,29.158477,36.597720,36.513962,31.852814,27.863903,31.640598,28.896800,36.488438,28.795842,34.499189,28.819966,32.066310,27.316257,33.832280,28.856307,34.485434,27.679678,31.010438,27.694891,34.144191,31.814238,34.880021,29.967229,32.193643,29.606810,33.354183,79.179786,79.388546,77.179441,72.304702,95.394302,89.356854,55.200138,74.963466,123.240000,1.089800,121.970000,122.640000,0.000000,0.010000,1814488.191185,0.831710,0.480577,32.695804,47.952395,Inf,Inf,31.631736
06/12/2026 11:07:37,0.000000,0.000000,74.986505,73.941245,63.670442,74.754962,75.735077,73.776256,74.980948,74.801826,35.648845,33.136334,32.657963,32.780985,33.668896,32.516821,32.533033,32.420495,34.313255,37.292654,35.589917,35.115521,34.789150,34.483056,34.714832,34.244953,34.063253,34.311373,37.078521,34.321580,34.069474,35.385084,35.784749,34.699605,34.403031,33.804640,34.568531,34.134393,32.671757,33.662839,32.076718,31.887912,32.128962,33.840860,33.399346,33.921195,33.018897,32.035913,33.302243,31.844638,31.750882,31.743308,32.906017,32.820619,32.805946,34.281207,34.221087,32.150082,32.242011,33.997177,33.954555,31.991904,32.217265,29.991198,37.515600,27.801686,33.593499,29.187897,36.597260,36.512022,31.865116,27.868196,31.640120,28.889630,36.491248,28.802689,34.502449,28.816397,32.044948,27.315364,33.826271,28.865883,34.485145,27.681619,30.992323,27.697569,34.153956,31.826711,34.882890,29.968775,32.197333,29.636372,33.340538,79.963490,80.133953,77.496865,72.470172,94.998349,89.265860,55.265108,73.441671,123.380000,1.090600,121.970000,122.500000,0.000000,0.010000,1814548.188444,0.911889,0.551293,32.750950,46.872093,Inf,Inf,31.633023
06/12/2026 11:08:37,0.000000,0.000000,75.022285,73.927588,63.471220,74.730269,75.728982,73.765071,74.999768,74.787695,35.812909,33.204039,32.784405,32.877584,33.819121,32.588102,32.639258,32.475582,34.468276,37.363987,35.777028,35.213611,34.894819,34.594533,34.836290,34.380238,34.227331,34.484274,37.272491,34.350265,34.317629,35.574345,35.954872,34.765733,34.342105,33.914632,34.999513,34.250683,32.773142,33.766319,32.148274,31.932811,32.165879,33.993583,33.513505,33.929202,33.173588,32.285125,33.432554,31.899110,31.814122,31.795857,33.054474,32.959345,32.934450,34.419236,34.360567,32.221849,32.299390,34.095271,34.102374,32.042632,32.280002,29.985848,37.513390,27.827131,33.607335,29.188856,36.608832,36.503171,31.854871,27.865965,31.655218,28.892256,36.482001,28.809875,34.496729,28.819657,32.062887,27.339616,33.828647,28.859794,34.480756,27.705776,31.025347,27.707082,34.160307,31.822839,34.912313,29.962243,32.189695,29.638528,33.377344,78.511234,78.949134,77.277455,72.197338,94.684632,89.238821,55.356687,72.599844,123.210000,1.083300,122.190000,122.530000,0.000000,0.010000,1814608.185275,0.937702,0.603937,32.828617,46.268533,Inf,Inf,31.639477
06/12/2026 11:09:37,0.000000,0.000000,75.018400,73.914815,64.060581,74.734938,75.713388,73.776937,74.975600,74.817180,35.912709,33.339713,32.870357,32.959960,33.908060,32.682070,32.687129,32.562158,34.601073,37.510450,35.926882,35.343172,35.022215,34.743711,34.921280,34.518520,34.333277,34.642533,37.363003,34.542271,34.289272,35.667879,35.865894,34.901048,34.542746,34.068769,34.889174,34.343338,32.837069,33.860807,32.184765,31.972013,32.172302,34.122962,33.629637,34.066416,33.263829,32.479560,33.538614,31.955122,31.883810,31.856190,33.224891,33.077613,33.040276,34.473841,34.489577,32.256884,32.384878,34.243593,34.212968,32.080975,32.371160,29.983126,37.500083,27.854315,33.594417,29.169640,36.599945,36.500535,31.861572,27.843664,31.649925,28.899002,36.468295,28.822827,34.497631,28.826865,32.069632,27.331648,33.831948,28.863556,34.483876,27.684361,31.020460,27.733938,34.139514,31.818900,34.908958,29.955749,32.178803,29.634748,33.342475,78.061219,78.353141,77.149377,71.908257,94.437258,89.091131,55.355036,71.960826,123.180000,1.087900,121.820000,122.630000,0.000000,0.010000,1814668.184245,1.033589,0.711396,32.827218,45.807487,Inf,Inf,31.635680
06/12/2026 11:10:37,0.000000,0.000000,75.032995,73.948038,63.851969,74.731898,75.733985,73.772624,74.992338,74.803079,36.065933,33.409464,32.988603,33.027822,34.014911,32.765963,32.773546,32.637026,34.712410,37.670881,36.033163,35.458251,35.162167,34.810978,35.128940,34.620266,34.484220,34.752613,36.983658,34.623086,34.202907,35.753563,36.166770,35.110519,34.522824,34.067926,34.935781,34.433164,32.882162,33.963118,32.206468,32.020450,32.181177,34.230353,33.693570,34.146940,33.371538,32.566472,33.608695,31.966155,31.911403,31.876211,33.265305,33.148904,33.114236,34.572957,34.527631,32.307057,32.396631,34.323665,34.245555,32.117208,32.361142,30.006078,37.498085,27.856761,33.583225,29.166431,36.591450,36.487769,31.862979,27.869179,31.636923,28.884644,36.478678,28.808310,34.512476,28.802723,32.070026,27.308375,33.830483,28.859854,34.499609,27.698406,31.013089,27.717369,34.164764,31.814394,34.917695,29.936444,32.205493,29.614227,33.379345,78.176106,78.433016,77.146364,71.819585,94.144718,88.997399,55.475751,71.309506,123.340000,1.089800,121.880000,122.630000,0.000000,0.010000,1814728.181246,1.033637,0.679214,32.929481,45.334961,Inf,Inf,31.635843
06/12/2026 11:11:37,0.000000,0.000000,75.043895,73.921734,63.708487,74.711024,75.737615,73.718307,74.976857,74.776187,36.179226,33.436060,33.060997,33.096967,34.111493,32.809787,32.831691,32.701851,34.855166,37.786157,36.133620,35.575484,35.274124,34.872872,35.218831,34.701343,34.579924,34.821674,37.378418,34.748491,34.380587,35.590681,36.182866,35.062349,34.646795,34.232357,35.098261,34.485296,32.949066,34.068110,32.235583,32.057137,32.215019,34.372837,33.791299,34.170036,33.467075,32.654990,33.680012,32.047882,31.939937,31.936373,33.367085,33.262242,33.186250,34.669237,34.634799,32.353578,32.423369,34.410690,34.346789,32.160866,32.433097,30.035835,37.484270,27.910214,33.607891,29.195659,36.620449,36.527179,31.849636,27.863397,31.660830,28.927319,36.477545,28.839289,34.500692,28.849825,32.068950,27.354183,33.848751,28.889805,34.498030,27.738335,31.007492,27.756468,34.146379,31.833362,34.896470,29.972173,32.203829,29.629950,33.387458,78.839195,79.046395,77.338258,71.790111,93.954013,88.997904,55.493037,70.873783,123.330000,1.087700,121.820000,122.530000,0.000000,0.010000,1814788.177989,1.123997,0.735899,32.944113,45.017363,Inf,Inf,31.652722
06/12/2026 11:12:37,0.000000,0.000000,75.048895,73.968187,63.734530,74.754496,75.749383,73.758023,75.007525,74.797990,36.315059,33.543486,33.129808,33.200826,34.254278,32.900791,32.900965,32.773804,34.973488,37.922602,36.251310,35.632944,35.386564,34.970736,35.322471,34.822791,34.698843,34.973815,37.481894,34.703279,34.497794,36.015551,36.191785,35.204725,34.701815,34.311815,35.089408,34.570525,32.990452,34.109883,32.272923,32.045976,32.201558,34.429969,33.825825,34.309873,33.571499,32.675031,33.721969,32.043195,31.973679,31.957198,33.395854,33.284046,33.253829,34.722940,34.668721,32.392045,32.448559,34.448685,34.413186,32.158920,32.407558,29.995974,37.473038,27.896194,33.613203,29.163526,36.595206,36.468369,31.855480,27.849612,31.661279,28.911709,36.452566,28.833294,34.474764,28.809178,32.053324,27.326894,33.824607,28.865996,34.454353,27.721622,31.013981,27.751954,34.137896,31.817721,34.920697,29.943474,32.211709,29.610645,33.362003,79.558683,79.773021,77.561539,71.844856,93.704829,88.755847,55.502457,70.554921,123.180000,1.087500,121.920000,122.610000,0.000000,0.010000,1814848.175457,1.157796,0.769882,32.952087,44.784182,Inf,Inf,31.635676
06/12/2026 11:13:37,0.000000,0.000000,75.022440,73.952695,64.080079,74.756928,75.728599,73.762572,74.999962,74.813662,36.374449,33.582205,33.154769,33.253951,34.302894,32.971717,32.928427,32.751915,35.052930,37.974363,36.306278,35.758561,35.405862,35.071629,35.433614,34.911387,34.710450,35.092275,37.723727,34.670084,34.573660,35.874268,36.335223,35.188764,35.036260,34.248851,35.314219,34.625672,33.058155,34.178822,32.300515,32.058890,32.241288,34.511295,33.900109,34.397315,33.659910,32.699064,33.798934,32.056237,31.989399,31.953317,33.461293,33.332944,33.332499,34.776628,34.773094,32.450011,32.501465,34.494359,34.503233,32.180697,32.437902,29.996960,37.489487,27.900306,33.596031,29.190440,36.590489,36.501771,31.853462,27.877051,31.657683,28.900525,36.467985,28.843929,34.495545,28.833614,32.043432,27.365196,33.821456,28.917701,34.475135,27.743425,31.024604,27.756317,34.142679,31.807820,34.928192,29.975086,32.212339,29.643384,33.383515,75.648369,75.829443,77.686718,71.901778,93.509801,88.665057,55.593260,70.181189,123.140000,1.090400,121.630000,122.370000,0.000000,0.010000,1814908.173330,1.149921,0.770033,33.028901,44.510049,Inf,Inf,31.647852
06/12/2026 11:14:37,0.000000,0.000000,75.051576,73.965374,63.969663,74.768662,75.712888,73.734133,74.986887,74.782839,36.474784,33.633146,33.222180,33.314203,34.386143,33.010655,32.965711,32.823444,35.130377,38.110718,36.416359,35.827042,35.523560,35.149478,35.509334,35.010658,34.800362,35.099240,37.276706,34.784395,34.658932,36.185238,36.136533,35.135661,34.989087,34.375604,35.370779,34.697850,33.081139,34.264799,32.262968,32.113011,32.207880,34.577808,33.935593,34.409300,33.705661,32.775996,33.819898,32.101724,32.004059,31.985353,33.512345,33.448023,33.364051,34.838281,34.796694,32.533283,32.516575,34.595502,34.525848,32.235415,32.499539,30.019058,37.452605,27.950999,33.599275,29.190575,36.594606,36.479611,31.857886,27.848005,31.695727,28.886426,36.470210,28.824311,34.478696,28.813764,32.042321,27.356491,33.837435,28.897173,34.503543,27.731829,31.005008,27.783328,34.139351,31.820518,34.945923,29.940303,32.204504,29.619032,33.383689,75.971788,76.129911,77.347327,71.614357,93.308480,88.602038,55.624531,69.079417,123.230000,1.087200,122.250000,122.480000,0.000000,0.010000,1814968.170164,1.209461,0.764560,33.055338,43.696644,Inf,Inf,31.645740
